"","Countries","Population","Cumulative Cases","New Cases (Last 24hrs)","Cumulative Deaths","New Deaths (Last 24Hrs)","Critical Cases","Test Conducted (1M people)","Cumulative Tests"
"","Mauritania","4,901,981","63,417","+3","997","0","0","12,937","1,004,886"
"","Mauritius","1,274,727","40,801","+83","1,031","0","0","32,008","358,675"
"","Mayotte","286,259","40,612","+197","187","0","0","141,872","176,919"
"","Mexico","131,562,772","7,118,933","+2,509","330,444","+14","4,798","54,111","18,675,146"
"","Micronesia","117,489","22,203","0","55","0","1","188,979","21,923"
"","Moldova","4,013,171","594,441","+278","11,906","+6","49","148,123","3,216,305"
"","Monaco","39,783","15,195","+30","63","0","4","381,947","78,646"
"","Mongolia","3,378,078","989,320","+441","2,179","0","192","292,865","4,030,048"
"","Montenegro","627,950","283,468","+25","2,789","+1","6","451,418","2,658,975"
"","Montserrat","4,965","1,403","0","8","0","0","282,578","17,762"
"","Morocco","37,772,756","1,267,177","+138","16,283","0","293","33,547","12,717,702"
"","Mozambique","33,089,461","230,543","+68","2,224","0","11","6,967","1,371,127"
"","MS-Zaandam","null","9","0","2","0","0","null","null"
"","MS-Zaandam-","null","9","+7","2","+2","0","null","null"
"","Myanmar","55,227,143","632,957","+47","19,487","+1","0","11,461","9,573,544"
"","Namibia","2,633,874","169,946","0","4,080","0","0","64,523","1,062,663"
"","Nauru","10,903","4,618","0","1","0","0","423,553","20,509"
"","Nepal","30,225,582","1,000,849","+3","12,019","0","0","33,113","5,972,136"
"","Netherlands","17,211,447","8,534,144","0","22,892","0","37","495,841","25,984,435"
"","New-Caledonia","290,915","74,682","+225","314","0","9","256,714","98,964"
"","New-Zealand","4,898,203","1,894,029","+3,079","3,199","+7","0","386,678","7,544,063"
"","Nicaragua","6,779,100","18,491","0","225","0","0","2,728","null"
"","Niger","26,083,660","9,931","0","312","0","1","381","254,538"
"","Nigeria","216,746,934","266,242","+50","3,155","0","11","1,228","5,441,162"
"","Niue","1,622","97","+4","null","0","0","59,803","null"
"","North-Macedonia","2,081,304","344,531","+189","9,567","+3","0","165,536","2,141,032"
"","Norway","5,511,370","1,467,328","0","4,325","0","20","266,237","11,002,430"
"","Oman","5,323,993","398,775","0","4,260","0","2","74,901","25,000,000"
"","Pakistan","229,488,994","1,574,868","+42","30,630","0","47","6,862","30,570,862"
"","Palau","18,233","5,684","+112","7","0","1","311,742","66,613"
"","Palestine","5,345,541","620,816","0","5,404","0","17","116,137","3,078,533"
"","Panama","4,446,964","992,623","+1,372","8,515","+6","16","223,214","7,196,883"
"","Papua-New-Guinea","9,292,169","45,819","+46","668","0","7","4,931","249,149"
"","Paraguay","7,305,843","718,071","+22","19,611","+3","7","98,287","2,657,506"
"","Peru","33,684,208","4,184,191","0","217,229","0","42","124,218","36,123,581"
"","Philippines","112,508,994","4,023,798","+1,774","64,458","+17","157","35,764","33,524,585"
"","Poland","37,739,785","6,348,771","+392","118,274","+7","1,530","168,225","37,741,186"
"","Portugal","10,140,570","5,537,108","0","25,395","0","61","546,035","45,059,939"
"","Puerto-Rico","null","39","+8","2","0","0","14","null"
"","Qatar","2,979,915","475,479","+280","684","0","1","159,561","4,065,369"
"","R&eacute;union","908,061","475,195","+575","902","+3","10","523,307","1,603,660"
"","Romania","19,031,335","3,294,065","+323","67,253","+3","93","173,086","25,673,617"
"","Russia","145,805,947","21,531,012","+5,445","391,395","+62","2,300","147,669","273,400,000"
"","Rwanda","13,600,464","132,643","+32","1,467","0","0","9,753","5,882,479"
"","S-Korea","51,329,899","26,512,754","+50,435","29,990","+65","419","516,517","15,804,065"
"","Saint-Helena","6,115","1,803","+3","null","0","0","294,849","null"
"","Saint-Kitts-and-Nevis","53,871","6,552","0","46","0","0","121,624","124,861"
"","Saint-Lucia","185,113","29,550","0","404","0","0","159,632","210,983"
"","Saint-Martin","39,730","12,034","+8","63","0","7","302,895","112,382"
"","Saint-Pierre-Miquelon","5,759","3,231","0","1","0","1","561,035","25,120"
"","Samoa","202,239","15,946","0","29","0","4","78,847","187,397"
"","San-Marino","34,085","21,798","+59","119","0","4","639,519","157,634"
"","Sao-Tome-and-Principe","227,679","6,275","+5","77","0","0","27,561","29,036"
"","Saudi-Arabia","35,844,909","824,984","+67","9,443","+1","66","23,015","44,758,529"
"","Senegal","17,653,671","88,842","+10","1,968","0","0","5,032","1,146,543"
"","Serbia","8,653,016","2,416,771","0","17,336","0","18","279,298","11,530,724"
"","Seychelles","99,426","49,380","0","171","0","0","496,651","null"
"","Sierra-Leone","8,306,436","7,758","+4","126","0","0","934","259,958"
"","Singapore","5,943,546","2,150,702","+1,908","1,699","0","8","361,855","24,622,510"
"","Sint-Maarten","43,966","10,931","0","89","0","0","248,624","62,056"
"","Slovakia","5,460,193","1,854,940","+100","20,709","+4","34","339,721","7,347,287"
"","Slovenia","2,078,034","1,247,372","+932","6,909","0","20","600,265","2,778,627"
"","Solomon-Islands","721,159","21,544","0","153","0","1","29,874","5,117"
"","Somalia","16,841,795","27,254","+11","1,361","0","0","1,618","400,466"
"","South-Africa","60,756,135","4,037,221","+598","102,371","0","192","66,450","26,473,049"
"","South-Sudan","11,618,511","18,339","+14","138","0","1","1,578","410,280"
"","Spain","46,719,142","13,573,721","+3,168","115,641","+38","339","290,539","471,036,328"
"","Sri-Lanka","21,575,842","671,497","+16","16,791","+3","0","31,123","6,486,117"
"","St-Barth","9,945","5,336","+13","6","0","0","536,551","78,646"
"","St-Vincent-Grenadines","111,551","7,112","0","115","0","0","63,756","100,856"
"","Sudan","45,992,020","63,595","0","4,981","0","0","1,383","562,941"
"","Suriname","596,831","81,228","0","1,392","0","0","136,099","239,603"
"","Sweden","10,218,971","2,622,790","0","20,896","0","18","256,659","19,112,603"
"","Switzerland","8,773,637","4,276,830","0","14,290","0","59","487,464","22,861,905"
"","Syria","19,364,809","57,386","+1","3,163","0","0","2,963","146,269"
"","Taiwan","23,888,595","8,146,790","+16,571","13,907","+59","0","341,033","28,292,960"
"","Tajikistan","9,957,464","17,786","0","125","0","0","1,786","null"
"","Tanzania","63,298,550","40,311","+159","845","0","7","637","null"
"","Thailand","70,078,203","4,698,373","+454","33,037","+6","1,496","67,045","17,270,775"
"","Timor-Leste","1,369,429","23,323","+3","138","0","0","17,031","278,529"
"","Togo","8,680,837","39,321","+1","290","0","0","4,530","799,925"
"","Tonga","107,749","16,182","0","12","0","0","150,182","535,009"
"","Trinidad-and-Tobago","1,406,585","185,094","+145","4,263","+6","8","131,591","862,808"
"","Tunisia","12,046,656","1,146,799","+97","29,266","+3","44","95,196","4,971,787"
"","Turkey","85,561,976","16,976,729","0","101,327","0","0","198,414","162,743,369"
"","Turks-and-Caicos","39,741","6,431","0","36","0","4","161,823","550,203"
"","Tuvalu","12,066","2,019","0","null","0","0","167,330","null"
"","UAE","10,081,785","1,042,099","+225","2,348","0","0","103,365","196,589,893"
"","Uganda","48,432,863","169,663","+82","3,630","0","3","3,503","3,012,408"
"","UK","68,497,907","23,977,637","0","196,241","0","146","350,049","522,526,476"
"","Ukraine","43,192,122","5,329,536","0","110,403","0","0","123,391","32,603,805"
"","Uruguay","3,496,016","992,035","+816","7,529","+3","18","283,762","6,114,822"
"","US-Virgin-Islands","null","17","+11","null","0","0","163","null"
"","USA","334,805,269","100,156,325","0","1,102,439","0","2,803","299,148","1,136,258,319"
"","Uzbekistan","34,382,084","245,246","+69","1,637","0","23","7,133","1,377,915"
"","Vanuatu","321,832","11,952","0","14","0","0","37,137","24,976"
"","Vatican-City","799","29","0","null","0","0","36,295","null"
"","Venezuela","29,266,991","546,733","0","5,825","0","36","18,681","3,359,014"
"","Vietnam","98,953,541","11,511,178","+259","43,169","+1","52","116,329","85,826,548"
"","Wallis-and-Futuna","10,982","761","0","7","0","0","69,295","20,508"
"","Western-Sahara","623,634","10","0","1","0","0","16","null"
"","Yemen","31,154,867","11,945","0","2,159","0","23","383","329,592"
"","Zambia","19,470,234","333,685","0","4,017","0","0","17,138","3,750,980"
"","Zimbabwe","15,331,428","257,893","0","5,606","0","12","16,821","2,525,756"
